questions,answers,contexts
What was the primary driver of Schroders' net new business in 2022?,"Schroders Wealth Management generated an impressive £5.6 billion of net new business in 2022, primarily due to a combination of factors, including a strong portfolio of wealth brands, such as Cazenove Capital and Benchmark, as well as the Lloyds Banking Group joint venture, Schroders Personal","Schroders Annual Report and Accounts 2022, Group Chief Executive’s statement continued"
What is Schroders' strategic plan for the future?,"Schroders' strategic plan, now in its seventh year, continues to drive the company forward. The plan focuses on three strategic areas: building closer relationships with end clients, growing the asset management business through providing solutions, leadership in sustainability and geographic expansion, and expanding the private assets business","Schroders Annual Report and Accounts 2022, Group Chief Executive’s statement continued"
What is the target for client investment performance at Schroders?,The target at Schroders is to have at least 60% of AUM outperforming their stated comparator over rolling three-year periods,"Schroders Annual Report and Accounts 2022, KPI Client investment performance (%)"
How did Schroders perform in terms of client investment performance in 2022?,"In 2022, Schroders delivered strongly for its clients, with 73% of assets outperforming their relevant comparator over three years and 76% outperforming over five years. This performance was above the target of 60% for the fifth year in a row","Schroders Annual Report and Accounts 2022, KPI Client investment performance (%)"
What was Schroders Wealth Management's net new business in 2022?,£5.6 billion,Schroders Wealth Management generated an impressive £5.6 billion of net new business in 2022.
What was Schroders Capital's net new business in 2022?,£6.4 billion,"Schroders Capital ended the year with £68.3 billion of fee-earning assets under management and generated £17.5 billion of gross fundraising, with NNB of £6.4 billion in 2022."
What was the total net flows for Schroders in 2022?,-£7.6 billion,"Overall, total net flows were -£7.6 billion for the year."
What was the contribution of Schroders Wealth Management and Schroders Capital to net new business in 2022?,£5.6 billion and £6.4 billion respectively,"In 2022, the two strategic growth areas of Schroders Wealth Management and Schroders Capital contributed strongly, with £5.6 billion and £6.4 billion of net flows respectively."
What was the growth in Schroders Capital's private equity franchise in 2022?,90%,"We bought Adveq (now Schroders Capital private equity) in 2017 when it managed £6.0 billion. It was a solid business led by great people but to accelerate growth it needed access to a strong brand, an efficient and effective product development machine and global client reach. Providing this meant that we could grow the assets by 90% to £11.4 billion and win some sizeable mandates across Europe last year."
What was the reason for Schroders Capital's acquisition of Greencoat Capital?,To accelerate growth and contribute to the drive toward net zero,"Last year, we bought a majority interest in Greencoat Capital, a green infrastructure manager adding £7.7 billion of assets and contributing £0.5 billion of NNB. This is an attractive proposition for many of our clients amid the drive toward net zero."
What is Schroders' strategy for growing their business in Europe and the US?,"Schroders foresees a multitude of opportunities to grow the business in both Europe and the US. They have acquired Cairn Real Estate in the Netherlands, completing the jigsaw of a pan-European real estate capability. They have also expanded the geographies they operate in, and now have more Schroders Capital AUM in Europe than in any other region. Additionally, they are well-placed to partner with European distributors, given the breadth of their Schroders Capital offering. They also believe that private markets will likely have a better chance of succeeding in a world where disruption is accelerating, and capital needs to be agile and deployed more quickly.","Schroders Annual Report and Accounts 2022, Group Chief Executive’s statement, page 10"
What is the primary objective of Schroders' business strategy?,To grow AUM over time in excess of market growth through positive investment outperformance and net new business,"The company aims to achieve this by becoming a trusted adviser and solutions provider to clients, pivoting the business mix to higher longevity areas, and offering services that clients want and need."
What is Schroders' position on sustainability?,"Schroders has a clear and bold position on sustainability, which they view as a question of returns and a fiduciary duty to understand how the world is changing and protect their clients' wealth. They have made commitments to net zero as a corporate and will work tirelessly to meet them. They also challenge companies to do the right thing by all stakeholders, to mitigate risk, and to protect their future profitability.","Schroders Annual Report and Accounts 2022, page 12, Strategic context"
What are some external forces disrupting Schroders' business model?,"Some external forces disrupting Schroders' business model include pricing pressures, changing investor needs, a decline in public listings globally, an increase in passively managed products taking market share, and an increasing importance placed by investors on the environmental and social aspects of capital allocation.","Schroders Annual Report and Accounts 2022, page 12, Strategic context"
How does Schroders plan to navigate the decline in public listings?,"Schroders plans to navigate the decline in public listings by accessing investment returns from private markets. They believe that private markets today represent around 9% of the global market and demand remains strong. Additionally, regulation about who can hold private assets is loosening, and innovation in new fund structures, products, and technology are opening up access for more investors.","Schroders Annual Report and Accounts 2022, page 13, Strategic context"
What are the strategic risks outlined in Schroders' risk disclosure?,"The strategic risks outlined in Schroders' risk disclosure include the impact of environmental, social, and governance (ESG) considerations on investment decisions, the increasing role of technology in investment management, and the growing demand for private assets.","For more information, see pages 40-45 of Schroders Annual Report and Accounts 2022."
What is Schroders' approach to incorporating ESG considerations into their investment strategies?,"Schroders has integrated ESG factors across their portfolios of managed assets and has invested in a scalable operating platform to support their transformational Cloud migration programme, aiming to prioritize the organic build out of their private assets","Schroders Annual Report and Accounts 2022, page 13."
What are the emerging market trends in demand for investment products and services?,"The emerging market trends in demand for investment products and services include a growing demand for advice and solutions, the impact of demographic changes, and the increasing importance of environmental, social, and governance (ESG) considerations. Additionally, there is a trend towards passive investment strategies and a shift towards outcome-oriented solutions.","For more information, see page 13 of Schroders Annual Report and Accounts 2022."
What factors led to the UK high-net-worth segment benefitting from thriving entrepreneurial activity over the last decade?,"The UK high-net-worth segment benefited from thriving entrepreneurial activity over the last decade due to a number of factors, including a favorable business environment and access to funding. Additionally, the UK's exit from the European Union has created opportunities for entrepreneurs to innovate and adapt to changing market conditions.","According to the text, the UK high-net-worth segment has benefitted from thriving entrepreneurial activity over the last decade across the country. This is attributed to a number of factors, including a favorable business environment and access to funding."
How has Schroders responded to industry disruption?,"Schroders has responded to industry disruption by focusing on growing their revenues by expanding into areas that bring them closer to clients and their needs. They have identified the need to diversify into areas of their industry that are seeing higher growth and to expand their global footprint. They have pursued these goals by focusing on three priorities across their business: build closer relationships with clients, expand their private assets business, and grow asset management.","According to the text, Schroders has responded to industry disruption by focusing on growing their revenues by expanding into areas that bring them closer to clients and their needs. They have identified the need to diversify into areas of their industry that are seeing higher growth and to expand their global footprint."
What are Schroders' three strategic priorities?,"Schroders' three strategic priorities are: 1. Investing sustainably, 2. Leading by example, and 3. Building long-lasting relationships with clients.","Schroders Annual Report and Accounts 2022, page 15"
What is Schroders' approach to sustainable investment?,"Schroders integrates the consideration of ESG factors across its portfolios of managed assets to help inform better investment decisions, recognizing the increasing importance of sustainability to clients.","Schroders Annual Report and Accounts 2022, page 27-29"
What is Schroders' philosophy when it comes to leadership?,"Schroders prioritizes sustainable leadership and strives to lead by example, recognizing that its ability to attract, retain, and motivate the best people is critical to delivering its long-term strategy.","Schroders Annual Report and Accounts 2022, page 30-31"
What is Schroders' approach to client relationships?,"Schroders seeks to build long-lasting, sometimes multi-generation relationships with clients by prioritizing their needs and putting them first.","Schroders Annual Report and Accounts 2022, page 16"
What is Schroders' competitive advantage when it comes to investment management?,"Schroders has built a scalable, robust, global operating platform that is the foundation for effective service delivery, and it has developed a number of proprietary tools, including its award-winning SustainEx™ impact measurement tool, underpinning its investment decision-making and providing better insights.","Schroders Annual Report and Accounts 2022, page 18"
What is Schroders' primary objective for its Wealth Management business?,"To deliver optimal client outcomes and build longer-lasting client relationships, driving more sustainable revenue and margins","Schroders Annual Report and Accounts 2022, page 18, Strategy and Business Model, Wealth Management"
What is the main reason for Cazenove Capital's expansion into the UK regions?,To deepen relationships with a new wave of high- and ultra-high-net-worth clients and to provide them with the valuable insights of a global firm,Cazenove Capital's expansion into the UK regions is a response to demand driven by the success of family-run businesses and opportunities arising from the UK advice gap (see page 13).
How does Schroders Personal Wealth address the UK 'advice gap'?,"Schroders Personal Wealth, our joint venture with Lloyds Banking Group, allows us to extend our reach across client segments to Lloyds Banking Group's broad customer base across the UK.",The UK 'advice gap' (see page 13) presents important opportunities for Schroders Personal Wealth and Cazenove Capital.
What is the advantage of having a local presence for Cazenove Capital's clients?,"Cazenove Capital's local presence across the Midlands, Thames Valley, North West and North East, South West, Yorkshire and Scotland allows their advisers to become a part of each local ecosystem of professional advisers, which helps deepen relationships with clients and better understand their needs.","Expanding our local office network helps us deepen relationships with a new wave of high- and ultra-high-net-worth clients, to better understand their needs and to provide them with the valuable insights of a global firm."
How does Cazenove Capital differentiate itself from a mere local presence?,"Being part of a larger FTSE 100 company gives Cazenove Capital tremendous financial strength, and their global investment expertise enables them to populate their clients' investment portfolios with the very best information, which clients recognise as something they wouldn't get from a mere local presence.",Our global investment expertise enables us to populate our clients' investment portfolios with the very best information.
What is Schroders' strategy for growing its private assets business?,"Schroders aims to scale and globalize its private assets business by seeking cross-selling opportunities across the Group, capturing the full growth opportunity from bringing the breadth of its capabilities to clients as a trusted partner and solutions provider, developing innovative private assets products for new client segments, and expanding its leading position in fast-growing sustainability and impact investing (S&I) strategies.","Schroders Annual Report and Accounts 2022, Strategy and business model, Schroders Capital"
What are Schroders' key priorities for its private assets business?,"Schroders' key priorities for its private assets business include scaling and globalizing its private assets business, capturing the full growth opportunity from bringing the breadth of its capabilities to clients as a trusted partner and solutions provider, developing innovative private assets products for new client segments, and expanding its leading position in fast-growing sustainability and impact investing (S&I) strategies.","Schroders Annual Report and Accounts 2022, Strategy and business model, Schroders Capital"
What is Schroders' approach to sustainable and impact investing?,"Schroders has developed its S&I investment policy and launched its first sustainability and impact report providing a comprehensive view of its approach to S&I. Schroders aims to expand its footprint in Real Estate, strengthening its pan-European real estate business and opening access to private assets investment.","Schroders Annual Report and Accounts 2022, Strategy and business model, Schroders Capital"
What has Schroders Capital Private Equity been built out from since 2017?,"Schroders Capital Private Equity has been built out from the acquisition of Swiss headquartered Adveq (now known as Schroders Capital Private Equity), a leader in private equity.","The stock market was always the automatic choice for fast-growing companies in need of fresh capital. But markets have evolved. Today, more companies are choosing to fund their growth through private markets, and increasingly investors are willing to provide the capital. At the core of our private assets business sits our private equities specialism. It has been built out from the acquisition, in 2017, of Swiss headquartered Adveq (now known as Schroders Capital Private Equity), a leader in private equity."
What are Schroders Solutions' priorities for 2022?,"Schroders Solutions' priorities for 2022 include establishing a market-leading position as one of the foremost solutions providers in the UK, expanding their presence in global markets, becoming a provider of choice for Fiduciary Management (FM) and Outsourced Chief Investment Officer (OCIO), and building on their significant Insurance Solutions presence globally.","Schroders Solutions is positioning themselves as a trusted adviser, able to answer the most challenging and complex questions for clients, allowing them to offer all of their capabilities and build longer-lasting valuable relationships. Their priorities include establishing a market-leading position as one of the foremost solutions providers in the UK and expanding their presence in global markets. They also aim to become a provider of choice for Fiduciary Management (FM) and Outsourced Chief Investment Officer (OCIO) as the market in the UK continues to consolidate. Additionally, they seek to build on their significant Insurance Solutions presence globally and meet the specific needs of their clients globally across Liability Driven Investments (LDI) and Risk Managed Investments (RMI)."
What is Schroders Solutions' approach to solving complex client problems?,"Schroders Solutions offers a market-leading proposition which includes strategic advice, an advanced and proven investment process, an integrated implementation model aligned with an embedded client-centric approach. They can compete in this space because of their investment capabilities, long-term track record, and depth and breadth across asset classes, which give them the credibility to do so.","Schroders Solutions is positioning themselves as a trusted adviser, able to answer the most challenging and complex questions for clients, allowing them to offer all of their capabilities and build longer-lasting valuable relationships. Their approach to solving complex client problems is based on their market-leading proposition, which includes strategic advice, an advanced and proven investment process, an integrated implementation model aligned with an embedded client-centric approach. This allows them to compete in this space because of their investment capabilities, long-term track record, and depth and breadth across asset classes, which give them the credibility to do so."
What are some of Schroders Solutions' achievements in 2022?,"In 2022, Schroders Solutions acquired River and Mercantile Group's UK Solutions Division (RMSD) and appointed as OCIO by the trustees of the Centrica pension schemes to manage £10 billion of their members’ assets. They also won a £600 million buy-in with the trustee of the Amey OS Pension Scheme, helped to secure the benefits of over 3,500 members, and were named ‘Fiduciary Management Firm of the Year’ at the Pensions Age Awards 2022.","Schroders Solutions made significant progress in 2022, including the acquisition of River and Mercantile Group's UK Solutions Division (RMSD) and the appointment as OCIO by the trustees of the Centrica pension schemes to manage £10 billion of their members’ assets. They also won a £600 million buy-in with the trustee of the Amey OS Pension Scheme, helped to secure the benefits of over 3,500 members, and were named ‘Fiduciary Management Firm of the Year’ at the Pensions Age Awards 2022, demonstrating their ability to deliver for their clients and establish themselves as a trusted and client-focused partner."
What is the primary objective of Schroders Solutions?,To deliver investable portfolios that address clients' specific needs by understanding the challenges each client faces and tailoring investment strategies accordingly.,"The challenges facing clients globally continue to become more complex and diverse. UK pension funds are one example across our client base where we continue to see significant change. Funds evolve and mature, and therefore risk appetite changes, and the need to develop and implement really effective cashflow-driven investment (CDI) solutions becomes increasingly important."
What is the primary focus of Schroders' investment strategy?,"The primary focus of Schroders' investment strategy is to offer clients access to a full spectrum of active investment products, with a particular emphasis on sustainability and thematics. They aim to provide top-performing products in these areas and extend their position as a leader in sustainable investment.",High-quality sources of alpha remain the foundation of what we offer clients – it also enhances our advisory services in Wealth and Solutions. Being able to offer a full spectrum of active investment products makes us a valuable partner to our clients and benefits the whole business.
How does Schroders approach product innovation?,Schroders approaches product innovation with a focus on sustainability and thematics. They have invested significant amounts of seed capital to build a dynamic product set that is geared towards future demand and the needs of their clients.,Product innovation – with a focus on sustainability and thematics – is a priority for us. We have invested significant amounts of seed capital to build a dynamic product set that is geared towards future demand and the needs of our clients.
What is Schroders' strategy for expanding their geographic reach?,Schroders' strategy for expanding their geographic reach is to form strategic partnerships and joint ventures with established local brands. They aim to build their presence in global growth markets by combining their investment expertise with the distribution networks of their partners.,We made important progress through our strategic partnerships and joint ventures. Our Wealth Management Company venture with Bank of Communications in China began operating in April when Covid-19 measures were in place but has made good initial progress.
What is the evidence that Schroders' thematics range is in high demand?,"The evidence that Schroders' thematics range is in high demand is the strong demand for their thematic strategies, such as their Global Energy Transition strategy, which has enjoyed particularly strong demand and has been the largest net inflow of any of their thematic strategies in 2022.",Our success is underpinned by the skill and vision of our portfolio managers and their access to data. Schroders’ early investment in data insights tools has paid dividends. We believe we have selected themes with great potential and are in high demand.
What is Schroders' approach to sustainable leadership?,"Schroders recognizes the importance of environmental, social, and governance (ESG) factors in driving long-term value for clients, shareholders, and wider stakeholders. They embed sustainability within their business by integrating ESG factors across their portfolios, leading by example in their corporate impact, and promoting a positive culture underpinned by clear values. They also hold themselves to high standards, asking of the companies they invest in.","Schroders Annual Report and Accounts 2022, page 26"
What is Schroders' objective for aligning portfolios to a 2.2°C pathway?,Schroders' objective is to align portfolios to a 2.2°C pathway by 2030 and 1.5°C by 2040.,"According to the provided text, Schroders has set a target to align portfolios to a 2.2°C pathway by 2030 and 1.5°C by 2040. This is mentioned in the section discussing the company's efforts to invest sustainably and address climate change."
What is Schroders' temperature score for illustrative purposes?,Schroders' temperature score for illustrative purposes is 2.9°C for the near-term target and 1.5°C for the long-term target.,"Reported values 3. Schroders temperature score is for illustrative  purposes only as it includes the near-term target, which covers Scope 1 and 2 financed emissions, but  the long-term target also includes Scope 3 as  well. Though both targets are managed, they are  monitored separately in practice."
What are the two targets that Schroders has for 2030 and 2040?,Schroders has a near-term target of 2.6°C for 2030 and a long-term target of 1.5°C for 2040.,"Based on Scope 1 and 2 targets for 2030 and Scope  1,2 and 3 targets for 2040, in line with SBTi near and  long-term calculations."
What is the percentage of AUM that Schroders' current in-scope asset classes for SBTi represent?,"More than 60% of Schroders' AUM is represented by their current in-scope asset classes for SBTi, which include listed equities, corporate bonds, real estate investment trusts and exchange-traded funds.","Current in-scope asset classes for SBTi include listed  equities, corporate bonds, real estate investment  trusts and exchange-traded funds. This represents  more than 60% of our AUM."
What is the name of the joint venture that Schroders launched with Conservation International?,Akaria Natural Capital is the name of the joint venture that Schroders launched with Conservation International.,"Akaria Natural Capital, the joint venture we  launched with Conservation International, marked a statement of ambition in natural  capital investments."
What is Schroders' approach to sustainable investing?,"Schroders' approach to sustainable investing involves integrating ESG factors across all investment desks, engaging with companies to encourage sustainable business models, and using active ownership to unleash the power of active management. They have published an Engagement Blueprint outlining their expectations for companies and commit to updating it annually. They also report on their engagement in numbers regularly and developed investment products offering exposure to key sustainability trends","active management, Engagement Blueprint, ESG, sustainable investing, active ownership"
How does Schroders prioritize sustainability and climate goals in their business operations?,"Schroders prioritizes sustainability and climate goals by incorporating them into their business strategy and daily operations. They have set ambitious targets to reduce their carbon footprint and are committed to helping their clients achieve their sustainability goals. They also strive to create an inclusive culture that celebrates diversity of thought and provides a world-class work environment, which helps them attract and retain exceptional employees who share their values.","Schroders Annual Report and Accounts 2022, page 30"
What is Schroders' approach to compensation and benefits for its employees?,"Schroders has a Fair Pay for Performance framework that takes into account annual performance, market context, relativities and diversity, and individual context to ensure that annual pay outcomes are fair and drive high performance. The company also provides generous benefits and support, including an electric car scheme and augmented medical support for menopause and gender dysphoria in the UK. Additionally, Schroders offers flexible working arrangements and a comprehensive wellbeing program that includes financial wellbeing efforts, as well as learning and development opportunities such as the Spotlight Programme and Sustainability related training.","Page 110, Schroders Annual Report and Accounts 2022"
What was the purpose of Schroders' 'Lead to Win' training program?,"The purpose of Schroders' 'Lead to Win' training program was to provide 700+ managers with training on sustainability-related issues, promoting equalities, and supporting the transition towards a net-zero and nature-positive future.","In 2022, Schroders provided 5,200+ hours of online and in-person training on sustainability-related issues. The 'Lead to Win' training program was part of this initiative, aiming to educate managers on the importance of sustainability and how to implement sustainable practices in their work."
What is Schroders' approach to reducing greenhouse gas emissions?,"Schroders is committed to reducing its greenhouse gas emissions and has set a science-based target to reduce its Scope 1 and 2 emissions by 46% by 2030. The company is focusing on decreasing energy demand, increasing energy efficiency, and switching to low-carbon electricity sources. Additionally, Schroders is engaging with its supply chain to encourage them to set their own science-based targets.","Schroders Annual Report and Accounts 2022, Strategic report, page 33"
What progress has Schroders made in reducing its greenhouse gas emissions?,"Schroders has made significant progress in reducing its greenhouse gas emissions, with a 34% decrease in Scope 1 and 2 emissions compared to its 2019 base year. The company is on track to meet its near-term targets and has increased its annual sourcing of renewable electricity to 95%.","Schroders Annual Report and Accounts 2022, Strategic report, page 33"
What is Schroders' approach to engaging with its suppliers on sustainability issues?,"Schroders has a supplier engagement plan in place, which includes setting science-based targets for its suppliers. In 2022, 25% of Schroders' suppliers in scope had set a science-based target. The company is also exploring different ways to support its suppliers in their own net-zero journey.","Schroders Annual Report and Accounts 2022, Strategic report, page 34"
What was the total dividend per share for the year 2022?,21.5 pence per share,"In 2022, the company paid a total dividend of 21.5 pence per share, consisting of an interim dividend of 10.8 pence per share and a proposed final dividend of 10.7 pence per share."
What was the payout ratio for the year 2022?,57%,"The payout ratio for the year 2022 was 57%, which is calculated by dividing the total dividend per share by the earnings per share."
What were the three strategic growth areas for the company in 2022?,"Schroders Capital, Schroders Solutions, and Wealth Management","The company's three strategic growth areas in 2022 were Schroders Capital, Schroders Solutions, and Wealth Management, which represented 46% of the company's total net operating revenue."
What was the net operating revenue from the strategic growth areas in 2022?,"£1,092.6 million","The net operating revenue from the strategic growth areas in 2022 was £1,092.6 million, which represents a compound annual growth rate of 12% over the past five years."
What was the reason for the net outflow of £0.2 billion in Schroders Solutions?,Some short-term redemptions as clients rebalanced their portfolios,"In Schroders Solutions, the company experienced a marginal net outflow of £0.2 billion due to some short-term redemptions as clients rebalanced their portfolios."
What was the percentage decrease in net operating revenue generated from the traditional parts of Schroders' Asset Management segment in 2022 compared to 2021?,The net operating revenue generated from the traditional parts of Schroders' Asset Management segment decreased by 17% in 2022 compared to 2021.,"The traditional parts of our Asset Management segment were more impacted by the challenging conditions. For the first time in a generation, we saw bond markets and equity indices fall at the same time. The MSCI World equity index fell 17% and the Barclays Global Aggregate fixed income index fell 16%. This was a significant contrast to the bull markets that characterized the latter part of 2021."
What was the operating profit for Schroders' Asset Management segment in 2022?, £593.1 million,Operating profit of £593.1 million (2021: £712.7 million) for  the Asset Management segment.
What was the net operating revenue for Schroders' Mutual Funds business area in 2022?, £748.3 million,"Net operating revenue for the segment was lower than the prior  year at £1,967.1 million (2021: £2,043.1 million). This was largely due  to lower performance fees and net carried interest which reduced  to £59.1 million (2021: £126.1 million)."
What was the net operating revenue for Schroders' Institutional business area in 2022?, £520.5 million,"Net operating revenue for the segment was lower than the prior  year at £1,967.1 million (2021: £2,043.1 million). This was largely due  to lower performance fees and net carried interest which reduced  to £59.1 million (2021: £126.1 million)."
What was the net operating revenue for Schroders' Schroders Capital business area in 2022?, £406.1 million,Net operating revenue for the business area increased by 16% to £406.1 million  (2021: £350.7 million).
What was the net operating revenue for Schroders' Schroders Solutions business area in 2022?, £292.2 million,Net operating revenue in Schroders Solutions business grew 6%  to £292.2 million (2021: £276.4 million).
What was the average AUM for Schroders' Mutual Funds business area in 2022?, £748.3 million,The average AUM for both our Mutual Funds and Institutional  business areas reduced as a result of the fall in asset values and net  outflows.
What was the average AUM for Schroders' Institutional business area in 2022?, £520.5 million,The average AUM for both our Mutual Funds and Institutional  business areas reduced as a result of the fall in asset values and net  outflows.
What was the operating profit for the Wealth Management segment in 2022?,£129.9 million,"Schroders Annual Report and Accounts 2022, page 37, Wealth Management segmental results"
What was the increase in net operating revenue for the Wealth Management business in 2022?,10%,"Schroders Annual Report and Accounts 2022, page 37, Wealth Management segmental results"
What was the amount of net new business generated by Schroders Personal Wealth (SPW) in 2022?,£0.2 billion,"Schroders Annual Report and Accounts 2022, page 37, Wealth Management segmental results"
What was the principal reason for the increase in operating expenses for the Wealth Management segment in 2022?,"Continued investment in this growth area, both through strategic hires and improvements to our IT platform","Schroders Annual Report and Accounts 2022, page 37, Wealth Management segmental results"
What was the profit before tax for the year 2022 for Schroders?,£586.9 million,The profit before tax for the year was £586.9 million (2021: £764.1 million).
What was the reason for the decrease in the Group's total assets?,The reduction in our capital surplus is largely due to the deployment of capital to complete our strategic acquisitions.,The Group’s total assets decreased to £21.3 billion at 31 December 2022 (2021: £24.3 billion).
How much did the Group's investment capital reduce by during 2022?,£654 million,"During 2022, investment capital reduced by £654 million to £184 million (2021: £838 million)."
How does Schroders engage with its stakeholders?,"Schroders engages with its stakeholders through various channels, including client service teams, dedicated Client Insights Unit, client surveys, and Board engagement with shareholders. The company also engages with its people through management briefings, videos, internal magazine, and pulse surveys.","Stakeholder engagement and section 172 statement, Schroders Annual Report and Accounts 2022, page 38"
What is Schroders' approach to corporate responsibility?,"Schroders is a principles-led business that recognizes its responsibility to wider society. They believe in demanding high levels of corporate responsibility and have established a global network of external service partners that supplement their own infrastructure and provide competitive advantage. They also engage with regulators and policymakers to understand and contribute to evolving regulatory requirements and are committed to respecting human rights and avoiding human rights infringements, including modern slavery.","Schroders Annual Report and Accounts 2022, pg. 39-40"
How does Schroders engage with its external service providers?,"Schroders continuously and proactively engages with its external service providers through various communication channels by employees throughout the Group. They have a framework that governs the sourcing, selection, on-boarding, management, oversight, and reporting of suppliers, and their Supplier Code of Conduct sets out the high standards to which they hold themselves and subsequently the treatment and behaviors they expect of their suppliers, including human rights, ethical sourcing, bribery, and corruption, living wages, diversity, and inclusion, health, and safety, and the environment. The Audit and Risk Committee reviews the Group’s supply chain annually with a significant focus on material outsourced providers to ensure that they are consistent with their strategy to use service partners that add value to their infrastructure.","Schroders Annual Report and Accounts 2022, pg. 40-41"
How does Schroders engage with regulators and policymakers?,"Schroders engages with regulators and policymakers to understand and contribute to evolving regulatory requirements. In addition to compliance and risk teams, they have a dedicated public policy presence in the UK and in Brussels for the EU. The Board engaged with the FCA, PRA, and Takeover Panel in respect of certain aspects of the simplification of the Company’s dual class share structure. Their Public Policy team has regular engagements with officials at all levels and holds detailed engagements on topics such as sustainability, digitization, and governance and culture. Senior management holds meetings with regulators to foster good working relationships, and the Audit and Risk Committee receives regular reports on engagement with regulators and how changes in regulatory regimes may impact their business.","Schroders Annual Report and Accounts 2022, pg. 41-42"
"How does Schroders approach risk management, and what steps has it taken to strengthen its risk management framework?","Schroders has a risk management framework that includes a strong control culture and three lines of defense. In 2022, the company strengthened its second line of defense by bringing together its Risk and Compliance functions, enabling better oversight of the first line and supporting business growth in a risk-controlled manner. The Board is accountable for maintaining a prudent and effective system of internal control and risk management, and non-executive oversight is exercised through the Audit and Risk Committee. The Group Chief Executive and Group Management Committee regularly review key risks, and subsidiary boards manage risks in line with regulatory and legal requirements. The Chief Financial Officer has responsibility for the risk and control framework, and chairs the Group Risk Committee, which reviews and monitors the adequacy and effectiveness of the Group's risk management framework, including emerging risks and changes to existing risks. The GRC is supported by sub-committees including the Group Conflicts Committee, the Financial Crime Committee, and the Information Security Risk Oversight committee, which challenge risks and report significant risk matters to the GRc","Risk management, Integral to our framework  is our strong control culture and the effectiveness of our three  lines of defence. Our second line of defence was strengthened  in 2022 by bringing together our Risk and Compliance functions.  This has allowed us to provide better oversight of the first line,  enabling us to support business growth in a risk-controlled  manner through more integrated discussions and alignment  of approach. Managing risks, The Board is accountable for the maintenance of a prudent and  effective system of internal control and risk management. It  assesses the most significant risks facing the business and also  uses quantitative exposure measures, such as stress tests, where  appropriate, to understand the potential impact on the business."
What is the primary function of the Group Risk Committee (GRC)?,"The primary function of the Group Risk Committee (GRC) is to support the Chief Financial Officer in discharging his risk management responsibilities by reviewing and monitoring the adequacy and effectiveness of the Group’s risk management framework, including relevant policies and limits, and reviewing emerging risks and changes to existing risks.","The Group and chairs the Group Risk Committee (GRC). The GRC supports the Chief  Financial Officer in discharging his risk management responsibilities.  The GRC reviews and monitors the adequacy and effectiveness of the Group’s risk management framework, including relevant policies and  limits. It also reviews emerging risks and changes to existing risks."
What measures has Schroders taken to enhance its operational resilience?,"Schroders has taken several measures to enhance its operational resilience, including developing proprietary scorecards to assess the ESG risk of individual transactions, successfully completing the first phase of the FCA's and PRA's operational resilience regulations, and integrating ongoing compliance with the regulations into business-as-usual activities. Additionally, the company has initiated a Group-wide multi-year program to further accelerate the evolution of its cyber defenses, and has been working with acquired firms to move them onto its network and align policies and control standards across the Group.","Schroders has been focused on enhancing its operational resilience, with a particular emphasis on cybersecurity and risk management. The company has made significant strides in this area, including the development of proprietary scorecards to assess the ESG risk of individual transactions and the successful completion of the first phase of the FCA's and PRA's operational resilience regulations. Additionally, Schroders has initiated a Group-wide multi-year program to further accelerate the evolution of its cyber defenses, and has been working with acquired firms to integrate them into its frameworks and align policies and control standards across the Group."
